datetime,AMZN,GOOG,GS,MS
2012-12-19,257.98999,359.695936,120.478047,18.003845
2012-12-20,261.5,360.819804,122.8166,18.173604
2012-12-21,256.920013,357.458146,121.60472,17.843517
2012-12-24,258.619995,354.396199,120.752614,17.871811
2012-12-26,248.630005,354.081525,120.39284,17.805792
2012-12-27,248.309998,352.792807,119.928911,17.702052
2012-12-28,245.179993,349.655948,118.84011,17.560587
2012-12-31,250.869995,353.337268,120.771547,18.032138
2013-01-02,257.309998,361.264351,124.65336,18.50369
2013-01-03,258.480011,361.474154,123.971675,18.465965
2013-01-04,259.149994,368.617014,127.351681,19.041259
2013-01-07,268.459991,367.008634,127.114985,18.673447
2013-01-08,266.380005,366.284329,125.969387,18.531982
2013-01-09,266.350006,368.691926,127.171804,18.50369
2013-01-10,265.339996,370.370261,130.059479,19.182724
2013-01-11,267.940002,369.626004,129.83226,19.022396
2013-01-14,272.730011,361.264351,128.885478,18.928086
2013-01-15,271.899994,362.103533,128.374207,19.267603
2013-01-16,268.929993,357.238367,133.58151,19.371345
2013-01-17,270.480011,355.305306,133.505766,19.569396
2013-01-18,272.119995,351.903714,136.762699,21.106654
2013-01-22,270.190002,351.084514,138.182872,21.672516
2013-01-23,268.109985,370.380268,137.813628,21.380155
2013-01-24,273.459991,376.728929,137.245567,21.314138
2013-01-25,283.98999,376.459178,136.772176,21.408449
2013-01-28,276.040009,374.990647,136.478661,21.040637
2013-01-29,260.350006,376.464197,139.271681,21.304707
2013-01-30,272.76001,376.539109,139.319008,21.672516
2013-01-31,265.5,377.468168,139.99123,21.549914
2013-02-01,265.0,387.413261,141.92266,22.220986
2013-02-04,259.980011,379.131508,139.669328,21.625527
2013-02-05,266.890015,382.488177,142.443393,22.117016
2013-02-06,262.220001,384.700966,143.077735,22.107564
2013-02-07,260.230011,386.589073,142.263502,21.833466
2013-02-08,261.950012,392.293391,143.532201,22.041403
2013-02-11,257.209991,390.819841,144.138141,22.003597
2013-02-12,258.700012,389.960707,145.908619,22.334405
2013-02-13,269.470001,391.039621,146.296804,22.334405
2013-02-14,269.23999,393.517173,147.631756,22.52344
2013-02-15,265.089996,396.049623,146.741792,22.561248
2013-02-19,269.75,403.022676,150.207005,22.986574
2013-02-20,266.410004,395.834832,146.921669,22.13592
2013-02-21,265.940002,397.3683,142.850517,21.578269
2013-02-22,265.420013,399.456234,145.88968,22.287148
2013-02-25,259.869995,394.990692,139.792399,20.822132
2013-02-26,259.359985,394.670999,140.599901,21.209652
2013-02-27,263.25,399.491181,144.067393,21.644431
2013-02-28,264.269989,400.200491,142.271895,21.31362
2013-03-01,265.73999,402.693007,143.003398,21.2002
2013-03-04,273.109985,410.340363,144.570891,21.36088
2013-03-05,275.589996,418.88183,145.311904,21.493203
2013-03-06,273.790009,415.275422,146.423402,21.653882
2013-03-07,273.880005,415.884819,148.788891,21.946885
2013-03-08,274.190002,415.345377,145.330894,21.767304
2013-03-11,271.23999,416.993723,145.634901,21.833466
2013-03-12,274.130005,413.392303,144.257404,21.427041
2013-03-13,275.100006,412.243465,144.314402,21.531011
2013-03-14,265.73999,410.360345,146.318901,21.549913
2013-03-15,261.820007,406.743962,147.097893,22.296599
2013-03-18,257.890015,403.492194,144.352396,21.729496
2013-03-19,256.410004,405.255448,141.397897,21.162393
2013-03-20,257.279999,406.948746,142.623404,21.493203
2013-03-21,253.389999,405.225458,138.110908,20.850486
2013-03-22,257.75,404.750953,139.269908,20.963908
2013-03-25,256.019989,404.416265,138.804403,20.765421
2013-03-26,260.309998,405.804896,139.212896,21.001714
2013-03-27,265.299988,400.929754,140.447898,21.067877
2013-03-28,266.48999,396.698985,139.792396,20.774873
2013-04-01,261.609985,400.195503,138.737896,20.472418
2013-04-02,263.320007,406.114582,139.345895,20.510226
2013-04-03,259.029999,402.697995,136.239408,19.952574
2013-04-04,259.079987,397.138544,135.84041,20.160511
2013-04-05,255.479996,391.134546,136.505406,20.3779
2013-04-08,258.950012,387.038638,136.628911,20.548032
2013-04-09,261.140015,388.437215,139.193906,20.548032
2013-04-10,264.769989,394.69597,141.986907,21.001714
2013-04-11,269.850006,394.800871,141.616407,21.048973
2013-04-12,272.869995,394.631034,141.663896,20.623645
2013-04-15,267.720001,390.575091,139.136909,20.302287
2013-04-16,272.339996,396.289386,136.89491,20.652001
2013-04-17,267.399994,390.889796,133.569912,20.292835
2013-04-18,259.420013,382.573096,131.669913,19.196436
2013-04-19,260.320007,399.536135,131.783909,19.451633
2013-04-22,263.549988,399.656031,132.543911,19.574504
2013-04-23,268.899994,403.547154,135.792907,20.42516
2013-04-24,268.779999,406.319367,136.733397,20.273933
2013-04-25,274.700012,404.146544,137.521898,20.255029
2013-04-26,254.809998,400.310381,136.904404,20.273975
2013-04-29,249.740005,409.121569,137.854404,21.041354
2013-04-30,253.809998,411.87383,138.766409,20.984512
2013-05-01,248.229996,409.805909,135.479405,20.700298
2013-05-02,252.550003,414.391317,136.486402,21.117146
2013-05-03,258.049988,422.438296,138.101398,21.562415
2013-05-06,255.720001,430.345396,141.027398,22.055054
